Page_Number,Type,Price,Price_Per_M2,Surface_m2,Rooms,Bedrooms,Floor,Address,City,PostalCode,Department,Energy_Class,Is_New,Agency,URL,Confidence_Score
73,Appartement,2 500 000 €, 16 340 €/m²,153 m²,4 pièce(s),3 chambre(s),4,"Bassin de la Villette, Paris 19ème (75019)",Paris 19ème,75019,75,N/A,Non,N/A,https://www.bellesdemeures.com/254536607/detail.htm,10
73,Appartement,246 000 €, 7 688 €/m²,32 m²,1 pièce(s),N/A,1,"La Chapelle-Marx Dormoy, Paris 18ème (75018)",Paris 18ème,75018,75,E,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/la-chapelle-marx-dormoy/250580867.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
73,Appartement,270 000 €, 9 643 €/m²,28 m²,1 pièce(s),N/A,1,"Gambetta, Paris 20ème (75020)",Paris 20ème,75020,75,F,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/gambetta/253405475.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
73,Appartement,440 000 €, 11 282 €/m²,39 m²,2 pièce(s),1 chambre(s),2,"Belleville, Paris 20ème (75020)",Paris 20ème,75020,75,A,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/belleville/236128013.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
73,Maison,3 195 000 €, 21 711 €/m²,"147,2 m²",5 pièce(s),4 chambre(s),5,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",Paris 18ème,75018,75,N/A,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/clignancourt-jules-joffrin/231473247.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,10
73,Appartement,135 000 €, 8 438 €/m²,16 m²,1 pièce(s),N/A,1,Paris 20ème (75020),Paris 20ème,75020,75,E,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/255543223.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
73,Appartement,1 300 000 €, 11 818 €/m²,110 m²,5 pièce(s),4 chambre(s),5,"Gambetta, Paris 20ème (75020)",Paris 20ème,75020,75,N/A,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/gambetta/255080395.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
73,Appartement,749 000 €, 8 511 €/m²,88 m²,4 pièce(s),2 chambre(s),4,"Secrétan, Paris 19ème (75019)",Paris 19ème,75019,75,D,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/secretan/255386297.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
73,Loft,690 750 €,N/A,199 m²,5 pièce(s),3 chambre(s),5,"Belleville, Paris 20ème (75020)",Paris 20ème,75020,75,N/A,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/belleville/254656563.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
73,Appartement,371 000 €, 9 841 €/m²,"37,7 m²",1 pièce(s),N/A,1,Paris 18ème (75018),Paris 18ème,75018,75,N/A,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/255806917.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D73&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,10
