,prix,type_de_bien,url_annonce,surface_terrain,surface_interieure,surface_jardin,nombre_de_pieces,ville,code_postal
29645,102800,maison,https://www.etreproprio.com/immobilier-23813578-vente-maison-2-chambres-a-prix-avantageux-nozay,,375.0,,,Nozay,44170
29667,115500,maison,https://www.etreproprio.com/immobilier-23711324-vente-maison-en-pierre-a-renover-missillac,,5207.0,,,Missillac,44780
30264,62000,maison,https://www.etreproprio.com/immobilier-21254686-vente-construisez-la-maison-de-vos-reves-dans-un-cadre-paisible-et-recherche-beaugency,,553.0,,,Beaugency,45190
30929,69000,maison,https://www.etreproprio.com/immobilier-22323966-vente-profitez-vite-de-cette-opportunite-a-st-pere-en-retz-pour-y-construire-votre-nouvelle-maison-re2020-saint-pere-en-retz,,318.0,,,Saint-Pere-En-Retz,44320
31442,97000,maison,https://www.etreproprio.com/immobilier-23813573-vente-votre-future-maison-plain-pied-sur-mesure-a-teille-teille,,313.0,,,Teille,44440
33617,345000,maison,https://www.etreproprio.com/immobilier-23803030-vente-maison-a-etage-de-125m-a-mercy-le-haut-mercy-le-haut,,550.0,,,Mercy-Le-Haut,54560
33618,345000,maison,https://www.etreproprio.com/immobilier-21894536-vente-maison-a-etage-de-125m-a-mercy-le-haut-mercy-le-haut,,550.0,,,Mercy-Le-Haut,54560
33619,345000,maison,https://www.etreproprio.com/immobilier-19943218-vente-maison-a-etage-de-125m-a-mercy-le-haut-mercy-le-haut,,550.0,,,Mercy-Le-Haut,54560
33626,493500,maison,https://www.etreproprio.com/immobilier-21275256-vente-etang-6-ha-maison-longuyon,,55000.0,,,Longuyon,54260
34888,139000,maison,https://www.etreproprio.com/immobilier-23464072-vente-superbe-opportunite-de-construction-de-3-maisons-conde-northen,,1802.0,,,Conde-Northen,57220
35462,128000,maison,https://www.etreproprio.com/immobilier-23990523-vente-maison-independante-st-leger-des-vignes-saint-leger-des-vignes,,14160.0,,,Saint-Leger-Des-Vignes,58300
35589,169000,maison,https://www.etreproprio.com/immobilier-21254716-vente-maison-a-renover-avec-potentiel-d-extension-secteur-calme-et-privilegie-seclin,,1024.0,,,Seclin,59113
36502,59000,maison,https://www.etreproprio.com/immobilier-23772394-vente-maison-a-restaurer-neuville-sur-touques,,8781.0,,,Neuville-Sur-Touques,61120
39759,62500,maison,https://www.etreproprio.com/immobilier-21213125-vente-evin-malmaison-rue-lafontaine-evin-malmaison,,1708.0,,,Evin-Malmaison,62141
40893,892500,maison,https://www.etreproprio.com/immobilier-21334160-vente-22ha-maison-90m-prats-de-mollo-la-preste-prats-de-mollo-la-preste,,22102.0,,,Prats-De-Mollo-La-Preste,66230
41930,317900,maison,https://www.etreproprio.com/immobilier-22660112-vente-au-bout-de-l-allee-maison-a-renover-sur-13-ares-horbourg-wihr,,104.0,,,Horbourg-Wihr,68180
43059,360000,maison,https://www.etreproprio.com/immobilier-21578511-vente-projet-de-construction-d-une-maison-a-limonest-lieudit-sandar-limonest,,1021.0,,,Limonest,69760
43286,869000,maison,https://www.etreproprio.com/immobilier-21061974-vente-maison-entrepot-simandres,,803.0,,,Simandres,69360
45196,369000,maison,https://www.etreproprio.com/immobilier-23739973-vente-possibilite-de-construire-deux-ou-trois-maisons-scionzier,,1325.0,,,Scionzier,74950
49050,92000,maison,https://www.etreproprio.com/immobilier-23911432-vente-offrez-vous-la-maison-sur-mesure-dans-un-environnement-paisible-lommoye,,948.0,,,Lommoye,78270
49120,96000,maison,https://www.etreproprio.com/immobilier-20888725-vente-offrez-vous-la-maison-sur-mesure-dans-un-environnement-paisible-lommoye,,767.0,,,Lommoye,78270
49121,96000,maison,https://www.etreproprio.com/immobilier-20932626-vente-offrez-vous-la-maison-sur-mesure-dans-un-environnement-paisible-lommoye,,726.0,,,Lommoye,78270
49499,125000,maison,https://www.etreproprio.com/immobilier-23240509-vente-projet-de-construction-maisons-jumelees-moret-sur-loing,,275.0,,,Moret-Sur-Loing,77250
50060,279000,maison,https://www.etreproprio.com/immobilier-23433397-vente-maison-chanteloup-les-vignes-chanteloup-les-vignes,,672.0,,,Chanteloup-Les-Vignes,78570
51569,89000,maison,https://www.etreproprio.com/immobilier-22898290-vente-bois-avec-maison-a-renover-lacaze,,225742.0,,,Lacaze,81330
52076,65500,maison,https://www.etreproprio.com/immobilier-22470554-vente-a-vendre-maison-a-renover-hangar-a-garganvillar-centre-potentiel-rare-garganvillar,,603.0,,,Garganvillar,82100
55181,213610,maison,https://www.etreproprio.com/immobilier-23846146-vente-a-l-entree-de-st-hilaire-de-riez-de-3300-m2-possibilites-2-maisons-saint-hilaire-de-riez,,3330.0,,,Saint-Hilaire-De-Riez,85270
55577,1456000,maison,https://www.etreproprio.com/immobilier-22879794-vente-vendee-85-saint-florent-des-bois-propriete-equestre-loisirs-maison-en-pierres-200m-activite-d-hebergement-15-hect-saint-florent-des-bois,,150000.0,,,Saint-Florent-Des-Bois,85310
55975,106000,maison,https://www.etreproprio.com/immobilier-23853805-vente-maison-plain-pied-2-chambres-saint-gervais,,720.0,,,Saint-Gervais,85230
56479,156000,maison,https://www.etreproprio.com/immobilier-19695249-vente-etang-vidangeable-maison-sur-3-ha-nomexy,,30000.0,,,Nomexy,88440
57466,79900,maison,https://www.etreproprio.com/immobilier-22141022-vente-cadre-verdoyant-pour-votre-future-maison-appoigny,,2186.0,,,Appoigny,89380
57634,59000,maison,https://www.etreproprio.com/immobilier-23606615-vente-un-cadre-paisible-pour-batir-votre-maison-a-saint-fargeau-saint-fargeau,,6488.0,,,Saint-Fargeau,89170
57977,89000,maison,https://www.etreproprio.com/immobilier-24022252-vente-maison-brem-sur-mer-brem-sur-mer,,350.0,,,Brem-Sur-Mer,85470
58200,91000,maison,https://www.etreproprio.com/immobilier-23690334-vente-maison-sainte-foy-sainte-foy,,682.0,,,Sainte-Foy,85150
59575,188900,maison,https://www.etreproprio.com/immobilier-20304344-vente-projet-de-maison-neuve-a-boussy-saint-antoine-boussy-saint-antoine,,654.0,,,Boussy-Saint-Antoine,91800
59855,340000,maison,https://www.etreproprio.com/immobilier-22337992-vente-maison-centre-ville-nanterre-nanterre,,174.0,,,Nanterre,92000
60133,140000,maison,https://www.etreproprio.com/immobilier-20723100-vente-projet-construction-maison-individuelle-breux-jouy,,400.0,,,Breux-Jouy,91650
60706,150000,maison,https://www.etreproprio.com/immobilier-20941534-vente-projet-construction-maison-individuelle-longpont-sur-orge,,230.0,,,Longpont-Sur-Orge,91310
60888,375000,maison,https://www.etreproprio.com/immobilier-21438395-vente-a-10-minutes-a-pied-du-metro-maisons-alfort-ecole-veterinaire-maisons-alfort,,275.0,,,Maisons-Alfort,94700
60958,684000,maison,https://www.etreproprio.com/immobilier-23291100-vente-maison-6-pieces-138-m2-bry-sur-marne,,588.0,,,Bry-Sur-Marne,94360
60973,749000,maison,https://www.etreproprio.com/immobilier-20915077-vente-maison-saint-maur-des-fosses-saint-maur-des-fosses,,120.0,,,Saint-Maur-Des-Fosses,94100
61783,170000,maison,https://www.etreproprio.com/immobilier-20605453-vente-maison-a-batir-a-eragny-sur-oise-dans-le-val-d-oise-eragny,,270.0,,,Eragny,95610
